sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
activation,500,248,256,391,4,484,0.0,6.082503071664051,0.861291938858679
alarm-config,500,275,263,446,4,612,0.0,6.074596039363382,3.0017046835135464
alarm-config[put],500,540,501,904,18,1191,0.394,6.060679523388162,0.7823129863695318
alarm-info,500,332,365,506,3,650,0.0,6.074374643130489,3.3397196524242827
alarm-info-user-userId-date,500,279,254,483,3,685,0.0,6.0847977413230785,3.3454503206688413
alarm-notifications,500,233,221,409,3,663,0.0,6.1081384837157024,3.400038023162061
avatars,500,233,226,400,6,591,0.0,6.128953174797744,4.02212552096102
avatars{avatarId},500,241,223,437,5,659,0.0,6.152407437030109,2.3432020512126392
devices,500,208,209,290,3,685,0.0,6.159835409197866,3.1400723472668806
devices-arrangement,500,192,194,298,3,542,0.0,6.172382292669679,2.7787775751178927
devices{deviceId},500,160,161,250,3,425,0.0,6.2012427290428995,3.070341859008545
files{fileId},500,7499,7881,10746,307,23716,0.492,5.699954400364797,33.16068705825354
get-dsn{dosn},500,539,488,1027,5,1322,0.0,5.734865689445553,0.8400682162273759
groups,500,241,189,739,4,843,0.0,5.7532764909616025,4.056509400853787
groups-arrangement,500,203,196,228,4,803,0.0,5.763954533926636,2.594905312636894
groups{groupId},500,193,209,237,4,263,0.0,5.774072106612467,2.3400780510197015
groups{groupId}[put],500,205,214,249,6,543,0.944,5.77747478132258,0.9196002095778977
guardian-profile,500,296,261,424,7,972,0.0,5.78462677588042,1.9037297104215833
latest-available-report,500,225,201,369,3,896,0.0,5.789717461787864,1.3286949253126448
living-duration,500,239,215,281,7,893,0.0,5.789851548206304,0.8198520258690567
operated-details,500,229,222,256,4,895,0.0,5.790253844728553,1.3118543866963126
payment-orders,500,228,216,258,4,878,0.0,5.790723261335341,0.8143204586252824
points,500,257,230,375,7,1005,0.0,5.790522073470144,1.0065555948024274
recharge-orders{rechargeOrderId},500,277,226,459,5,1016,0.0,5.790924463181303,1.8605606917838364
report{date},500,267,224,419,4,1042,0.0,5.793205728321824,0.7015210061639708
romeo-and-juliet,500,265,229,446,4,1012,0.0,5.793474230626622,12.531782637537077
threshold,500,218,222,257,4,988,0.0,5.7941455952905185,0.7921683431061256
transactions,500,216,229,257,4,326,0.0,5.795220102459492,0.8092934322770579
users,500,232,240,284,4,456,0.0,5.7953544438777875,9.315579506467616
users{userId},500,222,239,271,3,461,0.0,5.79582468789484,3.435610923390789
users{userId}[put],500,244,241,343,3,830,0.894,5.79515293408593,0.9233648070503832
users{userId}histories{date},500,239,245,327,5,583,0.0,5.797101449275362,0.769927536231884
usersharerules,500,225,233,301,3,490,0.0,5.798378773294987,0.8210594942654035
versions,500,212,222,303,3,391,0.0,5.798984018000046,42.85811625803159
TOTAL,17000,468,228,469,3,23716,0.08011764705882353,187.98031735500638,147.86745789448221
