sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
activation,500,273,265,419,3,503,0.0,7.456454306848007,1.0558455805595324
alarm-config,500,289,273,402,6,609,0.0,7.4185076929924785,3.665786027982611
alarm-config[put],500,641,513,1134,16,1796,0.372,7.311972623974496,0.9537268667466109
alarm-info,500,346,337,531,26,653,0.0,7.289904939639587,4.00802390724325
alarm-info-user-userId-date,500,311,292,469,17,649,0.0,7.263852166080716,3.993699970218206
alarm-notifications,500,259,248,392,12,658,0.0,7.239032865209208,4.029539778485595
avatars,500,285,252,472,52,690,0.0,7.231808386005004,4.745874253315784
avatars{avatarId},500,263,242,422,40,689,0.0,7.228253798447371,2.752948224018042
devices,500,211,215,331,38,664,0.0,7.230657989877079,3.6859408893709324
devices-arrangement,500,204,196,351,29,536,0.0,7.268709658661394,3.2723390162528347
devices{deviceId},500,175,188,255,8,498,0.0,7.293946024799417,3.6113580415754925
files{fileId},500,6945,7913,10052,322,13400,0.488,6.494096865948852,38.07357081163223
get-dsn{dosn},500,613,509,1366,88,1615,0.0,6.528096929183205,0.956264198610821
groups,500,266,223,276,19,1103,0.0,6.531337356637145,4.605103097160175
groups-arrangement,500,209,205,263,66,1020,0.0,6.52860836184159,2.9391488816493876
groups{groupId},500,225,209,263,42,1097,0.0,6.537144052506341,2.649330841591925
groups{groupId}[put],500,236,223,270,105,1202,0.938,6.519669843919104,1.0428542992332868
guardian-profile,500,294,269,422,102,1106,0.0,6.53031371627093,2.1491364476399446
latest-available-report,500,356,249,1033,3,1092,0.0,6.517630189663039,1.4957452095418104
living-duration,500,286,245,296,15,1086,0.0,6.505080467845388,0.9211295584351379
operated-details,500,305,256,296,12,1080,0.0,6.489629571944033,1.4703066998935699
payment-orders,500,264,250,277,9,1020,0.0,6.473665130250143,0.9103591589414263
points,500,267,261,321,20,926,0.0,6.453444848860322,1.1217902178682981
recharge-orders{rechargeOrderId},500,267,247,292,10,1005,0.0,6.433847183261703,2.0671247297784183
report{date},500,249,244,270,23,997,0.0,6.416343710699895,0.7769791212175654
romeo-and-juliet,500,253,240,279,63,992,0.0,6.425248657123031,13.898365015163588
threshold,500,247,246,270,66,1005,0.0,6.45594463381882,0.882648680404917
transactions,500,243,245,267,94,977,0.0,6.453944650970673,0.9012832862195375
users,500,257,250,280,52,1090,0.0,6.456111355008652,10.377694619476797
users{userId},500,258,257,289,46,1052,0.0,6.462035541195477,3.8305230210016155
users{userId}[put],500,265,261,348,46,1217,0.884,6.5359477124183005,1.0381689133986929
users{userId}histories{date},500,255,258,301,33,526,0.0,6.566764292562483,0.8721483826059547
usersharerules,500,260,262,337,4,490,0.0,6.590828203472048,0.93327157178071
versions,500,258,253,389,4,499,0.0,6.612357173085061,48.86945223233178
TOTAL,17000,480,252,468,3,13400,0.07888235294117647,203.94942054370514,160.70924957485545
