sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
activation,1000,598,632,880,10,1151,0.0,11.982649124068349,1.6967618388573347
alarm-config,1000,746,742,1001,19,1348,0.0,11.871690766198922,5.866284695016264
alarm-config[put],1000,1012,976,1362,160,2974,0.355,11.774541087261124,1.5481106828939466
alarm-info,1000,750,775,996,18,1320,0.0,11.743981209630064,6.456895918966529
alarm-info-user-userId-date,1000,657,647,930,17,1265,0.0,11.768305599359804,6.470269582460517
alarm-notifications,1000,609,561,876,16,1343,0.0,11.74439498749222,6.537407366084536
avatars,1000,652,547,981,145,1498,0.0,11.68156065650371,7.666024180830559
avatars{avatarId},1000,633,542,946,204,1423,0.0,11.650530681672551,4.437213833840132
devices,1000,581,535,808,163,1326,0.0,11.610895664491558,5.918835485219329
devices-arrangement,1000,557,529,616,432,1295,0.0,11.559758169859087,5.2041489417041396
devices{deviceId},1000,536,525,571,425,1310,0.0,11.552546758933007,5.719864459745151
get-dsn{dosn},1000,525,525,565,372,833,0.0,11.605775033656748,1.7000647021958126
groups,1000,526,526,570,406,631,0.0,11.629259216187927,8.199536283288754
groups-arrangement,1000,526,526,568,445,684,0.0,11.61426696554047,5.228688546009919
groups{groupId},1000,530,528,573,440,685,0.0,11.596623063363948,4.699803292281287
groups{groupId}[put],1000,553,538,647,449,855,0.849,11.574074074074073,1.832851833767361
guardian-profile,1000,540,537,591,455,689,0.0,11.57019056103854,3.807767792060535
latest-available-report,1000,528,530,571,348,628,0.0,11.571261614653846,2.655514140081693
living-duration,1000,531,531,574,444,634,0.0,11.560960947073921,1.6370501341071468
operated-details,1000,525,525,569,375,667,0.0,11.557086227420342,2.6184023483999215
payment-orders,1000,525,523,570,406,633,0.0,11.54854430599023,1.6240140430298762
points,1000,526,524,561,457,646,0.0,11.548010855130205,2.00736907442693
recharge-orders{rechargeOrderId},1000,522,522,558,452,633,0.0,11.534956686237644,3.7060554196993993
report{date},1000,521,520,560,373,611,0.0,11.537485289706256,1.3971173593003667
romeo-and-juliet,1000,527,526,569,412,654,0.0,11.539349180706207,24.960603940687747
threshold,1000,536,534,583,452,665,0.0,11.526314576177413,1.5758633209617559
transactions,1000,536,535,581,411,677,0.0,11.538284026399594,1.6113033357179118
users,1000,538,535,589,354,798,0.0,11.55361454831144,18.571532760274053
users{userId},1000,553,550,635,333,799,0.0,11.57340431687981,6.860406660494184
users{userId}[put],1000,594,588,717,243,1223,0.832,11.609682475184304,1.8321190028733962
users{userId}histories{date},1000,600,586,794,127,932,0.0,11.661127631041921,1.5487435134977554
usersharerules,1000,627,606,858,7,1013,0.0,11.724703951225232,1.6602363993434164
versions,1000,644,650,910,5,1015,0.0,11.786337277827544,87.10839894394418
TOTAL,33000,587,540,811,5,2974,0.061696969696969695,332.376491917208,210.77846249118699
